Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Теліженко,Юхим,Михайлович,Чоловіча,1984-11-24,Кухар,селище Виноградів,"площа Ігоря Ветрогонова, буд. 144 кв. 4, Острог, 62115",000 623-47-27,oksanaoberemko@example.net
Величко,Ірена,Сергіївна,Жіноча,2007-12-22,Фотограф,місто Рогатин,"сквер Вузький, буд. 103 кв. 735, Вінниця, 82248",+380 (30) 971-53-85,yhuzenko@example.com
Ящук,Микита,Богданович,Чоловіча,1957-10-19,Стоматолог,селище Гребінка,"площа Байгородський, буд. 379, Алушта, 72769",+380 43 411 33 53,ichaika@example.org
Данчук,Варфоломій,Миколайович,Чоловіча,1995-04-17,Акушер,село Баранівка,"набережна Гвоздичний, буд. 09, Апостолове, 76557",310-72-24,mariiaisaievych@example.net
Єрченко,Юстина,Тарасівна,Жіноча,1958-07-18,Літературознавець,селище Прип'ять,"площа Дорбуду, буд. 16, Миколаївка, 41046",563 04 92,shvaikaspas@example.org
Тригуб,Ліза,Павлівна,Жіноча,1979-10-11,Провізор,селище Копичинці,"площа Миколи Костомарова, буд. 2 кв. 991, Устилуг, 34783",+380 46 874 25 99,arsenchupryna@example.org
Сомко,Віра,Андріївна,Жіноча,1987-10-31,Флорист,селище Баштанка,"вулиця Степна, буд. 517 кв. 63, Білозерське, 95107",+380 69 755 76 36,ihorzatovkaniuk@example.org
Фурс,Тетяна,Богданівна,Жіноча,2000-08-26,Круп'є,місто Одеса,"провулок Туристська, буд. 41, Гірське, 02965",+380 33 579-33-45,rshapoval@example.org
Василашко,Леонід,Романович,Чоловіча,1997-08-22,Бізнесмен,селище Ялта,"сквер Аеродромний 2-й, буд. 43 кв. 9, Ясинувата, 82608",+380 (56) 223-71-32,ddurdynets@example.org
Черінько,Хома,Сергійович,Чоловіча,1996-11-07,Водій,село Бахмут,"проспект Каштанова, буд. 75 кв. 482, Карлівка, 90276",009 988 76 22,ielysaveta90@example.net
Жайворон,Ілля,Тарасович,Чоловіча,1978-11-20,Локсмайстер,селище Гайворон,"набережна Князівська, буд. 967 кв. 952, Берислав, 30397",245-31-85,shakhraiokhrim@example.net
Чуйко,Мирон,Михайлович,Чоловіча,2000-12-11,Редактор,місто Київ,"шосе Дачний 2-й, буд. 30, Ірпінь, 36278",+380 (72) 530-56-79,ustym32@example.com
Данченко,Леон,Олександрович,Чоловіча,1975-09-22,Каскадер,селище Новодружеськ,"провулок Заводська, буд. 13, Інкерман, 68397",+380 (87) 895-88-14,fedir46@example.org
Кабалюк,Богданна,Тарасівна,Жіноча,2011-12-12,Ювелір,селище Глухів,"парк Крайня, буд. 98 кв. 3, Нове Давидково, 50309",+380 21 535 79 21,makar09@example.org
Закусило,Богдан,Юрійович,Чоловіча,1979-11-07,Педагог,хутір Лохвиця,"узвіз Путьова, буд. 753, Прилуки, 96089",917-18-11,halyna92@example.net
Саєнко,Амвросій,Дмитрович,Чоловіча,1982-03-31,Палеонтолог,хутір Чоп,"проспект Павлова, буд. 4 кв. 5, Білицьке, 02429",+380 37 125-60-19,serhii63@example.org
Алексеєнко,Любов,Володимирівна,Жіноча,1970-03-14,Кухар,місто Галич,"сквер Полтавська, буд. 66 кв. 3, Кодима, 73920",+380 55 626-19-89,riurchuk@example.org
Лемешко,Наталія,Петрівна,Жіноча,1987-03-24,Електрик,місто Шумськ,"проспект Лінія 30-та, буд. 488 кв. 1, Збараж, 69701",+380 11 885 56 98,pgerega@example.org
Сомко,Миколай,Петрович,Чоловіча,1974-03-13,Геолог,хутір Макіївка,"шосе Віри Інбер, буд. 1, Умань, 30067",007 281-37-74,ibaklan@example.org
Івасюк,Стефан,Іванович,Чоловіча,1967-07-24,Пілот,селище Шпола,"проспект Амбулаторний 1-й, буд. 67 кв. 31, Тульчин, 39540",098 329 97 90,borysromanchuk@example.com
Євдокименко,Тимофій,Анатолійович,Чоловіча,1997-11-25,Краєзнавець,місто Федорівка,"площа Кримська, буд. 403, Самбір, 42204",+380 18 176-38-76,szaiets@example.org
Архимович,Марина,Григорівна,Жіноча,1993-09-03,Флорист,село Підгайці,"сквер Тараса Кузьміна, буд. 078 кв. 1, Вінниця, 02705",965 08 61,yishchenko@example.net
Ярема,Данило,Вікторович,Чоловіча,1992-10-07,Мірошник,місто Новодружеськ,"парк Спиридонівська, буд. 361, Курахове, 41869",005 911 01 53,zynovii65@example.org
Ґереґа,Борислав,Степанович,Чоловіча,1948-09-30,Геолог,місто Отаманівка,"узвіз 1-ша Лінія Марії Демченко, буд. 6 кв. 7, Новий Калинів, 36286",+380 64 536-46-85,snosenko@example.org
Деркач,Хома,Тарасович,Чоловіча,1987-04-08,Паралегал,село Дубляни,"парк Палубна, буд. 3 кв. 47, Гребінка, 59402",055 380-73-74,davyd39@example.com
Рябошапка,Ліза,Миколаївна,Жіноча,1956-08-04,Математик,селище Токмак,"шосе Вапняний 2-й, буд. 532, Харцизьк, 02202",+380 94 271-19-57,ostap35@example.org
Приходько,Сергій,Григорович,Чоловіча,2009-10-15,Інженер,хутір Алмазна,"шосе Олександра Юрженка, буд. 92 кв. 01, Нетішин, 81370",066 232-90-58,maksym19@example.net
Олійник,Орися,Василівна,Жіноча,1985-08-21,Водій,селище Рогатин,"набережна Героїв прикордонників, буд. 3, Дубляни, 71333",+380 14 533 08 22,gvashchenko@example.com
Вакарчук,Оксана,Сергіївна,Жіноча,2004-03-01,Ботанік,село Решетилівка,"площа Дур'янівський, буд. 41 кв. 9, Бердянськ, 36657",094 603-10-81,bandurkairena@example.net
Баштан,Юхим,Григорович,Чоловіча,1984-11-01,Географ,хутір Житомир,"сквер Восьмого березня, буд. 03 кв. 0, Нове Давидково, 89657",+380 61 677-23-12,anzhela34@example.com
Ємець,Олекса,Олександрович,Чоловіча,1981-03-29,Модель,хутір Красилів,"парк Чернишевського, буд. 708, Южноукраїнськ, 28868",071 083-22-59,hlibdankevych@example.com
Стельмах,Леон,Анатолійович,Чоловіча,1975-03-29,Кінорежисер,село Бобринець,"шосе Осипова, буд. 3, Жовква, 77803",778 35 72,iustynalazarenko@example.net
Верес,Демид,Анатолійович,Чоловіча,1999-02-10,Письменник,хутір Старий Крим,"площа Магістральна, буд. 5 кв. 3, Синельникове, 80540",099 347-69-15,tetianabebeshko@example.com
Гайдамака,Адам,Григорович,Чоловіча,1995-05-22,Детектив,хутір Звенигородка,"проспект Станційна 2-га, буд. 068, Шпола, 04325",833 03 83,venedyktkalchenko@example.org
Усик,Єва,Григорівна,Жіноча,2009-06-27,Кінорежисер,місто Роздільна,"вулиця Виїзна, буд. 86 кв. 88, Дніпрорудне, 93706",+380 47 549 85 07,iefrem71@example.org
Ярема,Орися,Іванівна,Жіноча,1955-11-26,Юрист,село Авдіївка,"узвіз Перша, буд. 1, Трускавець, 44755",957-63-07,zvdovychenko@example.org
Устенко,Павло,Андрійович,Чоловіча,1992-12-14,Кінорежисер,хутір Коростишів,"площа Мариністів, буд. 40 кв. 55, Перевальськ, 68636",+380 57 001-11-23,oleshrytsenko@example.org
Тесленко,Ада,Миколаївна,Жіноча,1988-07-29,Гірничий інженер,місто Носівка,"провулок Бєлякова, буд. 450 кв. 5, Чоп, 88574",+380 92 721-33-36,iushchenkoada@example.org
Данькевич,Аарон,Євгенович,Чоловіча,1998-10-27,Гінеколог,село Городня,"сквер Кропивницького, буд. 5 кв. 710, Борзна, 50129",+380 79 852-65-70,iukhympavlyk@example.net
Сіробаба,Дмитро,Васильович,Чоловіча,1978-10-22,Фрілансер,селище Трускавець,"площа Чигиринська, буд. 166, Кролевець, 65368",061 058-11-64,danyloshyian@example.com
Дутка,Орися,Дмитрівна,Жіноча,1989-09-28,Палеонтолог,хутір Бучач,"площа Гілельса, буд. 8 кв. 08, Білозерське, 85611",+380 21 176-13-78,vakarchukvarfolomii@example.com
Гайденко,Мирон,Іванович,Чоловіча,2001-09-19,Адвокат,хутір Старокостянтинів,"провулок Міцкевича, буд. 45, Малин, 97762",055 781 05 55,halynademydenko@example.net
Шутько,Соломія,Григорівна,Жіноча,1958-07-11,Модель,селище Бобринець,"вулиця Миколи Вороного, буд. 7 кв. 9, Кипуче, 55837",921 19 82,ksmyk@example.com
Андрусенко,Михайлина,Юріївна,Жіноча,1973-01-17,Гицель,селище Алмазна,"площа Незамаївська, буд. 7, Боярка, 16193",050 758 41 17,aronetsvira@example.com
Іщенко,Вʼячеслав,Миколайович,Чоловіча,1947-08-06,Випробувач,місто Самар,"сквер Сабанський, буд. 827 кв. 700, Андрушівка, 54235",+380 01 890 73 79,liubov78@example.com
Вергун,Альберт,Романович,Чоловіча,2007-03-02,Дантист,селище Прип'ять,"сквер Панченка, буд. 86 кв. 9, Новомиргород, 32737",020 226 76 25,vadymriaboshapka@example.org
Андрусенко,Макар,Іванович,Чоловіча,2000-02-06,Фізик,місто Горішні Плавні,"сквер Василя Симоненка, буд. 3 кв. 640, Сіверськодонецьк, 76248",276 28 49,artymyshynihnat@example.org
Гриценко,Ігнат,Андрійович,Чоловіча,1986-06-28,Єгер,хутір Гадяч,"проспект Мирна, буд. 251, Скалат, 19166",213-20-21,bazylevskyianton@example.org
Супруненко,Франц,Сергійович,Чоловіча,1994-09-07,Правник,хутір Бунге,"набережна Москеті, буд. 718 кв. 25, Іловайськ, 36468",+380 17 700-72-95,hanna68@example.net
Швачка,Миколай,Степанович,Чоловіча,1949-09-22,Випробувач,селище Шахтарське,"вулиця Азовський, буд. 46 кв. 66, Бахчисарай, 37829",+380 22 020-05-32,baranetsieva@example.com
Тесля,Аврелій,Олександрович,Чоловіча,1989-03-10,Кухар,місто Чорнобиль,"парк Зоряна, буд. 007, Березне, 28218",564 62 66,ehutsuliak@example.com
Зінчук,Святослава,Богданівна,Жіноча,1948-11-14,Мікробіолог,хутір Виноградів,"шосе Хвиляста, буд. 6, Скадовськ, 47833",+380 68 052-79-22,bohuslav16@example.org
Ващенко,Анастасія,Миколаївна,Жіноча,1951-11-30,Археолог,місто Красилів,"проспект Данила Крижанівського, буд. 657 кв. 6, Бахмут, 06469",+380 78 055-73-73,ptovstukha@example.org
Якимчук,Василь,Євгенович,Чоловіча,1976-05-13,Круп'є,хутір Українка,"вулиця Кустанайська, буд. 370 кв. 280, Шахтарське, 07608",+380 90 740 07 18,violettachornovil@example.org
Атаманчук,Марина,Богданівна,Жіноча,1956-10-10,Нотаріус,місто Ковель,"проспект Ремонтна, буд. 647, Батурин, 46245",189-21-76,flemeshko@example.net
Гавриш,Єва,Євгенівна,Жіноча,1981-03-08,Географ,село Саки,"вулиця Новоукраїнський, буд. 85 кв. 725, Тячів, 95530",+380 33 928 36 33,bizhakevych@example.com
Овсієнко,Степан,Тарасович,Чоловіча,1974-12-17,Фермер,село Остер,"шосе Житомирська, буд. 9 кв. 774, Миколаїв, 21790",556 67 83,volodymyrasirchenko@example.org
Гайда,Богуслава,Анатоліївна,Жіноча,2007-08-26,Нотаріус,селище Бершадь,"вулиця Гвоздична, буд. 21 кв. 42, Фастів, 31229",050 670 40 90,dannariabets@example.com
Стус,Захар,Романович,Чоловіча,1985-12-20,Футболіст,село Білицьке,"парк Аеродромна, буд. 654 кв. 8, Вільнянськ, 20236",073 935-63-87,shvaikaorysia@example.org
Ярема,Прохір,Андрійович,Чоловіча,1949-05-21,Етнограф,хутір Тальне,"проспект 16-та Лінія 6-й ст. Люстдорфської дороги, буд. 60 кв. 5, Боково-Хрустальне, 79539",508 23 39,niarema@example.com
Шеремет,Ігор,Григорович,Чоловіча,2001-08-15,Художник,місто Рені,"площа Бориса Едуардса, буд. 90 кв. 729, Жашків, 01477",+380 (44) 802-23-39,unosenko@example.com
Теліженко,Феофан,Богданович,Чоловіча,1960-10-22,Ріелтор,селище Ланівці,"вулиця Князя Ярослава Мудрого, буд. 3 кв. 2, Тараща, 72489",023 423-36-55,lahodabohodar@example.com
Оліфіренко,Ярина,Андріївна,Жіноча,1991-10-05,Антрополог,селище Путивль,"парк Шкіперська, буд. 698 кв. 35, Золочів, 06931",+380 (60) 730-28-89,tesliapavlo@example.org
Гаврюшенко,Омелян,Михайлович,Чоловіча,1982-03-24,Швачка,село Чортків,"провулок Успенський, буд. 57 кв. 9, Підгородне, 35055",032-60-32,achervonenko@example.net
Єрченко,Ярина,Олександрівна,Жіноча,1991-10-24,Менеджер,хутір Теплодар,"набережна Зої Пасічної, буд. 75 кв. 1, Кобеляки, 14128",+380 (59) 585-68-90,xfranchuk@example.org
Дубас,Аніта,Дмитрівна,Жіноча,1983-07-06,Астронавт,хутір Ланівці,"узвіз Селекційна, буд. 826, Пустомити, 56950",198-26-43,rostyslav26@example.org
Ватаманюк,Альберт,Миколайович,Чоловіча,1970-10-22,Дантист,селище Заліщики,"провулок Колонічна, буд. 172 кв. 1, Південне, 10862",074 61 99,vovknataliia@example.org
Петренко,Галина,Вікторівна,Жіноча,1953-04-18,Юрист,селище Борзна,"набережна Івахненка Петра, буд. 9 кв. 9, Боярка, 07002",+380 06 524-89-14,fovcharenko@example.net
Забіла,Богданна,Романівна,Жіноча,1965-05-21,Скульптор,село Зимогір'я,"узвіз Басейний 6-й, буд. 696 кв. 75, Новий Розділ, 73187",+380 42 042 56 84,medvedenkoklyment@example.org
Терещук,Миколай,Сергійович,Чоловіча,2004-08-24,Програміст,село Хрустальний,"шосе Вузький, буд. 70, Острог, 49699",+380 57 018-38-68,pelekhhanna@example.net
Дацюк,Алевтин,Михайлович,Чоловіча,1963-02-03,Стоматолог,село Вашківці,"сквер Деволанівська, буд. 3, Южноукраїнськ, 19861",086-04-53,hodunokviacheslav@example.com
Лукаш,Єлисей,Миколайович,Чоловіча,1996-11-26,Дизайнер,село Кременчук,"набережна 9-та Лінія Дачі Ковалевського, буд. 1 кв. 0, Каховка, 76787",+380 98 098 95 34,dannabandera@example.net
Худяк,Мартин,Степанович,Чоловіча,1968-02-29,Дипломат,місто Нетішин,"парк Басейний 4-й, буд. 9 кв. 4, Кременець, 59194",+380 20 520-43-69,oleh38@example.net
Скирда,Степан,Вікторович,Чоловіча,2008-11-18,Ріелтор,село Зоринськ,"вулиця Ізмаїльська, буд. 672, Снятин, 89302",+380 06 431-10-92,iesypenkonazar@example.net
Гриценко,Спас,Іванович,Чоловіча,1955-10-14,Фотограф,село Люботин,"узвіз Вапняне селище, буд. 61 кв. 88, Богуслав, 49195",+380 85 521 59 66,derhachmykhailyna@example.com
Шамрай,Євген,Григорович,Чоловіча,1982-12-25,Дизайнер,хутір Залізне,"вулиця Барвінковий, буд. 82 кв. 62, Богуслав, 11129",+380 07 048-73-73,misaienko@example.org
Канівець,Адам,Романович,Чоловіча,1997-07-29,Складальник,місто Токмак,"парк Чорноморський, буд. 42 кв. 4, Сокологірськ, 29184",+380 81 529 31 63,danchenkoiakiv@example.org
Бабак,Федір,Миколайович,Чоловіча,1980-04-25,Модельєр,селище Хрустальний,"набережна Водопровідний 1-й, буд. 6 кв. 0, Волочиськ, 77935",690 83 62,tarasenkosnizhana@example.net
Стус,Віолетта,Тарасівна,Жіноча,1974-09-19,Кінокритик,хутір Деражня,"проспект Грузинська, буд. 444, Вашківці, 56732",+380 (24) 380-96-07,azasiadko@example.com
Гуцуляк,Нестор,Юрійович,Чоловіча,1978-02-21,Акушер,місто Довжанськ,"шосе Китобійний 1-й, буд. 806, Дрогобич, 57532",+380 04 594-00-51,sviatoslava18@example.org
Данькевич,Аніта,Сергіївна,Жіноча,1966-07-08,Епідеміолог,місто Харків,"провулок Володимира Вінниченка, буд. 50, Нова Одеса, 09135",683-49-25,ebezborodko@example.com
Жук,Марко,Тарасович,Чоловіча,1986-02-28,М'ясник,село Новий Розділ,"вулиця Лінія 25-та, буд. 87, Кагарлик, 18915",+380 (21) 011-86-70,symonenkomyroslav@example.org
Микитюк,Ліза,Іванівна,Жіноча,1954-05-28,Агроном,селище Павлоград,"вулиця Ніщинського Композитора, буд. 5, Виноградів, 21636",+380 27 656-65-61,paliiviktor@example.net
Шевченко,Варфоломій,Володимирович,Чоловіча,1978-05-18,Складальник,село Соснівка,"набережна Миколи Пильчикова, буд. 615, Любомль, 18194",+380 00 560-69-88,havryloadamenko@example.net
Забарна,Людмила,Григорівна,Жіноча,1970-03-18,Графік,місто Дружківка,"проспект Дмитра Сигаревича, буд. 06 кв. 94, Світлодарськ, 32717",+380 78 624-45-60,iosyp29@example.com
Байрак,Климент,Григорович,Чоловіча,1970-09-29,Живописець,місто Ужгород,"сквер Професора Коровицького, буд. 00, Жданівка, 42341",+380 08 662-87-16,shovkopliasomelian@example.net
Хмара,Марʼяна,Євгенівна,Жіноча,1959-09-24,Гірник,селище Кривий Ріг,"шосе Моторний 2-й, буд. 2 кв. 634, Прип'ять, 13475",023 853-57-03,pderhach@example.org
Деркач,Марина,Євгенівна,Жіноча,1980-03-22,Модель,село Ялта,"парк Лінія 52-га, буд. 022 кв. 300, Маріуполь, 64249",+380 28 409-88-65,liashkomaryna@example.net
Жаліло,Данна,Романівна,Жіноча,1959-02-11,Гірничий інженер,місто Бережани,"шосе Госпітальєрів, буд. 53, Жидачів, 76768",566-22-05,gshakhrai@example.org
Єфименко,Мартин,Миколайович,Чоловіча,1950-04-06,Перекладач,селище Новий Буг,"площа Князівська, буд. 1, Городище, 82465",015 389 44 86,iukhymenkoviktoriia@example.com
Товстуха,Хома,Тарасович,Чоловіча,1957-09-22,Водій,хутір Болехів,"площа Старокінний, буд. 520 кв. 3, Вашківці, 91469",376-86-67,tsisykmykolai@example.net
Артюшенко,Варфоломій,Григорович,Чоловіча,2006-09-29,Кур'єр,місто Мала Виска,"провулок Овідіопольська дуга, буд. 0, Острог, 10197",+380 18 244 45 97,sviatoslava64@example.net
Ільєнко,Лариса,Миколаївна,Жіноча,1970-10-15,Золотар,селище Ялта,"проспект Валерія Самофалова, буд. 420 кв. 3, Сніжне, 76106",247-48-52,averchenkoirena@example.com
Пʼятаченко,Маруся,Василівна,Жіноча,1962-07-05,Програміст,місто Ровеньки,"набережна Георгія Липського, буд. 2 кв. 066, Семенівка, 86412",069 345-99-18,olenashchyrytsia@example.org
Савенко,Юхим,Вікторович,Чоловіча,1962-02-07,Біолог,селище Миргород,"площа Авіаторів, буд. 50, Калинівка, 98360",108 23 20,amvrosii54@example.org
Шморгун,Олесь,Степанович,Чоловіча,2003-06-04,Шериф,місто Теребовля,"парк Марсельська, буд. 21, Торецьк, 22445",117 65 50,bevzavhustyn@example.org
Дейсун,Оксенія,Богданівна,Жіноча,1975-02-17,Продюсер,місто Біла Церква,"проспект Побратимів, буд. 023 кв. 08, Черкаси, 66419",097 768-21-28,syrotenkodmytro@example.com
Юхименко,Роксолана,Романівна,Жіноча,1976-06-17,Продюсер,хутір Соснівка,"вулиця Василя Кандинського 1-й, буд. 39 кв. 7, Коростишів, 30393",+380 20 469-50-78,fursoles@example.com
Гузь,Єфрем,Павлович,Чоловіча,2008-02-18,Мірошник,село Судова Вишня,"парк Восьмого березня 6-й, буд. 078, Тиврів, 98438",054 321-14-31,khoma69@example.net
Онуфрієнко,Галина,Дмитрівна,Жіноча,1986-08-08,Ріелтор,село Хрестівка,"площа Дорбуду, буд. 2 кв. 204, Бобринець, 89683",+380 28 198-42-88,klavdiiariabovil@example.net
Ющенко,Вадим,Володимирович,Чоловіча,1963-05-19,Ювелір,село Отаманівка,"узвіз Вільгельма Габсбурга, буд. 469 кв. 760, Заставна, 93949",020 220 81 58,arsen57@example.com
Шевченко,Тарас,Юрійович,Чоловіча,1970-01-02,Клавішник,хутір Славутич,"вулиця Флотський 1-й, буд. 916 кв. 5, Хирів, 68927",135-27-49,erika70@example.net
Гайда,Валентина,Вікторівна,Жіноча,1998-11-26,Зоолог,селище Кагарлик,"площа Трамвайний, буд. 323 кв. 42, Красилів, 90294",569 96 49,danna58@example.net
Прокопович,Златослава,Богданівна,Жіноча,1948-10-31,Модель,селище Переяслав,"провулок Машинобудівний, буд. 7 кв. 51, Горохів, 49047",303-87-03,olehzhalilo@example.org
Абраменко,Георгій,Володимирович,Чоловіча,1960-09-10,Вчитель,хутір Ківерці,"набережна Миколи Плигуна, буд. 8, Хуст, 38792",098 912-63-25,hlibfurs@example.net
Устенко,Пармен,Григорович,Чоловіча,1988-03-02,Кур'єр,хутір Харків,"парк Одеська, буд. 0, Рівне, 30889",+380 30 304-46-47,rostyslav11@example.com
Іващенко,Костянтин,Васильович,Чоловіча,1982-04-15,Льотчик,селище Хрестівка,"площа Крижанівський, буд. 3 кв. 353, Довжанськ, 26110",+380 (84) 171-11-49,okhrimdanchenko@example.net
Зайченко,Борислав,Сергійович,Чоловіча,1963-10-12,Хімік,хутір Кам'янець-Подільський,"провулок Гімназична, буд. 12 кв. 780, Попасна, 59105",+380 80 698 61 94,shvaikahordii@example.com
Матяш,Емілія,Павлівна,Жіноча,1992-06-01,Астрофізик,село Глухів,"проспект Училищна, буд. 208, Маріуполь, 13797",+380 39 589-69-31,feofan83@example.org
Баклан,Клавдія,Степанівна,Жіноча,1973-08-24,Нотаріус,село Харцизьк,"проспект Віталія Гуляєва, буд. 44, Деражня, 73564",005-28-91,larysa71@example.net
Давиденко,Панас,Богданович,Чоловіча,1959-01-23,Співак,село Рівне,"узвіз Донорська, буд. 003 кв. 2, Богуслав, 18969",+380 03 362-71-39,rbatiuk@example.com
Аронець,Амвросій,Дмитрович,Чоловіча,1959-11-15,Бухгалтер,селище Новоазовськ,"парк Ремонтна, буд. 682, Феодосія, 91061",+380 60 242-33-07,klavdiiakhomyk@example.net
Івасюк,Алла,Володимирівна,Жіноча,1993-04-17,Мистецтвознавець,місто Дунаївці,"провулок Михайла Божія, буд. 9, Хмельницький, 34388",246 67 59,diermolenko@example.org
Носенко,Демʼян,Іванович,Чоловіча,1987-09-20,Дерун,місто Покров,"площа Заводська 1-ша, буд. 7 кв. 2, Попасна, 35095",+380 60 190-03-26,nazarisaienko@example.org
Ємельяненко,Михайло,Юрійович,Чоловіча,1969-04-25,Математик,село Горішні Плавні,"узвіз Депутатський, буд. 8, Міусинськ, 72437",+380 (40) 868-44-60,gkhomyk@example.org
Дрозденко,Захар,Анатолійович,Чоловіча,1947-08-01,Штукатур,місто Донецьк,"парк Іванівський переїзд, буд. 646, Хутір-Михайлівський, 20456",+380 (59) 593-06-08,vlasenkoopanas@example.org
Каденюк,Амвросій,Іванович,Чоловіча,1965-01-05,Пілот,місто Рубіжне,"проспект Красний, буд. 769, Пустомити, 04303",+380 24 622-77-08,arkhypenkomariana@example.com
Шевченко,Емілія,Андріївна,Жіноча,1995-02-13,Конструктор,місто Харцизьк,"парк Пересипська 5-та, буд. 535, Тетіїв, 50543",258 58 47,lukianbandera@example.org
Чумаченко,Варвара,Анатоліївна,Жіноча,1977-06-11,Будник,селище Білицьке,"вулиця Морехідний, буд. 99 кв. 92, Прилуки, 94736",+380 (84) 647-07-38,chalenkoparmen@example.org
Юрченко,Тетяна,Володимирівна,Жіноча,1975-06-03,Круп'є,хутір Деражня,"сквер Пересипська 2-га, буд. 1, Подільськ, 60941",+380 03 804-19-21,prokhirviter@example.net
Євтушок,Аніта,Василівна,Жіноча,2007-09-11,Підприємець,місто Кременчук,"набережна Висока, буд. 8 кв. 8, Чернігів, 13281",+380 69 853 61 09,pkylymnyk@example.org
Вобла,Олена,Василівна,Жіноча,2004-07-08,Фольклорист,хутір Олександрівськ,"проспект 19-й км Старокиївської дороги, буд. 73, Сіверськодонецьк, 51698",505-37-32,chornovilillia@example.org
Гоголь,Трохим,Євгенович,Чоловіча,1949-12-05,Перекладач,селище Винники,"провулок Старопортофранківська, буд. 4 кв. 793, Багачеве, 59490",+380 62 864-38-85,ostapudovenko@example.org
Вакуленко,Віолетта,Андріївна,Жіноча,1965-10-04,Мікробіолог,хутір Прип'ять,"набережна Генуезька, буд. 310 кв. 9, Зоринськ, 61097",+380 (03) 869-02-25,iefymenkofeofan@example.net
Кириленко,Микита,Павлович,Чоловіча,2000-12-03,Машиніст,хутір Комарно,"площа 11-та Лінія Марії Демченко, буд. 338, Ялта, 19803",+380 93 077-22-69,tpanchuk@example.net
Гречко,Ірена,Олександрівна,Жіноча,1980-07-12,Будник,селище Тульчин,"проспект Остапа Вишні, буд. 403 кв. 29, Дебальцеве, 88429",+380 79 673-57-61,alevtyndzhun@example.net
Мірошниченко,Руслан,Олександрович,Чоловіча,1948-09-16,Кур'єр,селище Тальне,"сквер Михайла Грушевського, буд. 7 кв. 36, Часів Яр, 18489",+380 11 944-30-31,larysahavrysh@example.net
Голик,Юстина,Юріївна,Жіноча,2004-05-07,Паралегал,місто Кодима,"вулиця Юннатів 2-й, буд. 26, Соледар, 46361",+380 (33) 260-01-45,ushutko@example.net
Дашкевич,Аарон,Дмитрович,Чоловіча,1957-12-28,Няня,місто Маріуполь,"вулиця Авіаторів, буд. 0, Рубіжне, 36636",+380 50 597-55-81,pmakohon@example.org
Левченко,Василь,Олександрович,Чоловіча,1995-10-07,Електрослюсар,селище Хрестівка,"провулок Шевченка, буд. 3 кв. 079, Городище, 58781",+380 58 824-07-75,makohonserhii@example.net
Андріїшин,Михайло,Андрійович,Чоловіча,1996-01-13,Епідеміолог,місто Погребище,"узвіз Кощового отамана, буд. 85, Новомиргород, 35526",087 152 43 05,anitahuk@example.com
Зубко,Валентин,Дмитрович,Чоловіча,1992-01-11,Пілот,селище Новодружеськ,"проспект Юхима Геллера, буд. 97 кв. 965, Златопіль, 51798",082 293 13 10,albertfesenko@example.com
Бабич,Венедикт,Романович,Чоловіча,1985-07-26,Кінорежисер,село Попасна,"узвіз Орликова, буд. 2, Новоукраїнка, 15251",299 69 08,balabanamvrosii@example.net
Демʼянюк,Варвара,Василівна,Жіноча,1981-12-15,Сантехнік,село Підгородне,"проспект Багрицького, буд. 42, Чорнобиль, 69044",+380 88 395-40-91,derehusstanislav@example.net
Чумаченко,Емілія,Анатоліївна,Жіноча,1956-04-27,Палеонтолог,хутір Старобільськ,"площа Вокзальний, буд. 1 кв. 6, Гуляйполе, 84553",089 368-28-83,khrystyna95@example.com
Оробець,Демид,Євгенович,Чоловіча,2010-09-17,Мікробіолог,село Дебальцеве,"вулиця Сосюри, буд. 935, Кремінна, 36804",342-73-43,larkhymovych@example.com
Данько,Давид,Анатолійович,Чоловіча,2009-01-14,Географ,хутір Хоростків,"узвіз Поперечний, буд. 946 кв. 1, Роздільна, 68546",033 717-16-40,rdakhno@example.net
Фаренюк,Наталія,Богданівна,Жіноча,1966-10-15,Модельєр,місто Болград,"площа Студентський, буд. 48 кв. 06, Шепетівка, 41152",+380 62 647-50-08,kostiantyn50@example.net
Фесенко,Андрій,Юрійович,Чоловіча,2000-08-16,Геолог,село Галич,"парк Центральна, буд. 5, Южноукраїнськ, 47908",288-69-89,ckopytko@example.org
Вертипорох,Леон,Сергійович,Чоловіча,1963-03-10,Акушер,хутір Зоринськ,"проспект Шефська, буд. 43 кв. 9, Мала Виска, 73500",016 190-62-57,arkadiiartiukh@example.org
Цушко,Федір,Анатолійович,Чоловіча,1997-06-14,Реставратор,хутір Сторожинець,"сквер Світлий, буд. 1, Іллінці, 88056",+380 50 169-11-78,martakovaliuk@example.com
Проценко,Орест,Іванович,Чоловіча,1993-05-17,Кур'єр,місто Помічна,"парк В’ячеслава Чорновола, буд. 2 кв. 15, Світловодськ, 04518",+380 61 085-66-88,zatovkaniuksvitlana@example.net
Калениченко,Болеслав,Богданович,Чоловіча,1992-01-07,Кінорежисер,селище Боково-Хрустальне,"сквер Кам’янецький, буд. 781, Берестечко, 12520",+380 47 838-22-39,pylypvalenko@example.org
Сімашкевич,Мілена,Миколаївна,Жіноча,1991-08-22,Кінокритик,хутір Новий Розділ,"площа Кропивницького, буд. 100 кв. 87, Чоп, 51978",084 286-96-14,imoskal@example.net
